cpd:C00001	cpd:H2O
cpd:C00153	cpd:Nicotinamide
cpd:C00154	cpd:Palmitoyl-CoA
cpd:C00155	cpd:L-Homocysteine
cpd:C00156	cpd:4-Hydroxybenzoate
cpd:C00157	cpd:Phosphatidylcholine
cpd:C00158	cpd:Citrate
cpd:C00159	cpd:D-Mannose
cpd:C00160	cpd:Glycolate
cpd:C00161	cpd:2-Oxo acid
cpd:C00162	cpd:Fatty acid
cpd:C00163	cpd:Propanoate
cpd:C00164	cpd:Acetoacetate
cpd:C00165	cpd:Diacylglycerol
cpd:C00166	cpd:Phenylpyruvate
cpd:C00167	cpd:UDP-glucuronate
cpd:C00168	cpd:Hydroxypyruvate
cpd:C00169	cpd:Carbamoyl phosphate
cpd:C00170	cpd:5'-Methylthioadenosine
cpd:C00171	cpd:5'-Phosphomononucleotide
cpd:C00172	cpd:3'-Phosphooligonucleotide
cpd:C00173	cpd:Acyl-[acyl-carrier protein]
cpd:C00174	cpd:Acid
cpd:C00175	cpd:Cobalt ion
cpd:C00176	cpd:Flavin
cpd:C00177	cpd:Cyanide ion
cpd:C00178	cpd:Thymine
cpd:C00179	cpd:Agmatine
cpd:C00180	cpd:Benzoate
cpd:C00181	cpd:D-Xylose
cpd:C00182	cpd:Glycogen
cpd:C00183	cpd:L-Valine
cpd:C00184	cpd:Glycerone
cpd:C00185	cpd:Cellobiose
cpd:C00186	cpd:(S)-Lactate
cpd:C00187	cpd:Cholesterol
cpd:C00188	cpd:L-Threonine
cpd:C00189	cpd:Ethanolamine
cpd:C00190	cpd:UDP-D-xylose
cpd:C00191	cpd:D-Glucuronate
cpd:C00192	cpd:Hydroxylamine
cpd:C00193	cpd:Aromatic aldehyde
cpd:C00194	cpd:Cobamide coenzyme
cpd:C00195	cpd:N-Acylsphingosine
cpd:C00196	cpd:2,3-Dihydroxybenzoate
cpd:C00197	cpd:3-Phospho-D-glycerate
cpd:C00198	cpd:D-Glucono-1,5-lactone
cpd:C00199	cpd:D-Ribulose 5-phosphate
cpd:C00200	cpd:Phenazine methosulfate
cpd:C00201	cpd:Nucleoside triphosphate
cpd:C00202	cpd:Isoflurophate
cpd:C00203	cpd:UDP-N-acetyl-D-galactosamine
cpd:C00204	cpd:2-Dehydro-3-deoxy-D-gluconate
cpd:C00205	cpd:hn
cpd:C00206	cpd:dADP
cpd:C00207	cpd:Acetone
cpd:C00208	cpd:Maltose
cpd:C00209	cpd:Oxalate
cpd:C00210	cpd:Cobamide
cpd:C00211	cpd:Collagen
cpd:C00212	cpd:Adenosine
cpd:C00213	cpd:Sarcosine
cpd:C00214	cpd:Thymidine
cpd:C00215	cpd:Nucleotide
cpd:C00216	cpd:D-Arabinose
cpd:C00217	cpd:D-Glutamate
cpd:C00218	cpd:Methylamine
cpd:C00219	cpd:Arachidonate
cpd:C00220	cpd:Methylene blue
cpd:C00221	cpd:beta-D-Glucose
cpd:C00222	cpd:3-Oxopropanoate
cpd:C00223	cpd:p-Coumaroyl-CoA
cpd:C00224	cpd:Adenylyl sulfate
cpd:C00225	cpd:Methyl viologen
cpd:C00226	cpd:Primary alcohol
cpd:C00227	cpd:Acetyl phosphate
cpd:C00229	cpd:Acyl-carrier protein
cpd:C00230	cpd:3,4-Dihydroxybenzoate
cpd:C00231	cpd:D-Xylulose 5-phosphate
cpd:C00232	cpd:Succinate semialdehyde
cpd:C00233	cpd:4-Methyl-2-oxopentanoate
cpd:C00234	cpd:10-Formyltetrahydrofolate
cpd:C00235	cpd:Dimethylallyl diphosphate
cpd:C00236	cpd:3-Phospho-D-glyceroyl phosphate
cpd:C00237	cpd:CO
cpd:C00238	cpd:Potassium cation
cpd:C00239	cpd:dCMP
cpd:C00240	cpd:rRNA
cpd:C00241	cpd:Amide
cpd:C00242	cpd:Guanine
cpd:C00243	cpd:Lactose
cpd:C00244	cpd:Nitrate
cpd:C00245	cpd:Taurine
cpd:C00246	cpd:Butanoic acid
cpd:C00247	cpd:L-Sorbose
cpd:C00248	cpd:Lipoamide
cpd:C00249	cpd:Hexadecanoic acid
cpd:C00250	cpd:Pyridoxal
cpd:C00251	cpd:Chorismate
cpd:C00252	cpd:Isomaltose
cpd:C00253	cpd:Nicotinate
cpd:C00254	cpd:Prephenate
cpd:C00255	cpd:Riboflavin
cpd:C00256	cpd:(R)-Lactate
cpd:C00257	cpd:D-Gluconic acid
cpd:C00258	cpd:D-Glycerate
cpd:C00259	cpd:L-Arabinose
cpd:C00261	cpd:Benzaldehyde
cpd:C00262	cpd:Hypoxanthine
cpd:C00263	cpd:L-Homoserine
cpd:C00264	cpd:3-Oxoacyl-CoA
cpd:C00265	cpd:Dithiothreitol
cpd:C00266	cpd:Glycolaldehyde
cpd:C00267	cpd:alpha-D-Glucose
cpd:C00268	cpd:Dihydrobiopterin
cpd:C00269	cpd:CDP-diacylglycerol
cpd:C00270	cpd:N-Acetylneuraminate
cpd:C00272	cpd:Tetrahydrobiopterin
cpd:C00273	cpd:5-Dehydro-D-fructose
cpd:C00275	cpd:D-Mannose 6-phosphate
cpd:C00279	cpd:D-Erythrose 4-phosphate
cpd:C00280	cpd:Androstenedione
cpd:C00282	cpd:Hydrogen
cpd:C00283	cpd:Hydrogen sulfide
cpd:C00284	cpd:EDTA
cpd:C00286	cpd:dGTP
cpd:C00288	cpd:HCO3-
cpd:C00290	cpd:Fibrin
cpd:C00291	cpd:Nickel
cpd:C00292	cpd:Aniline
cpd:C00294	cpd:Inosine
cpd:C00295	cpd:Orotate
cpd:C00296	cpd:Quinate
cpd:C00297	cpd:Sulfide
cpd:C00298	cpd:Trypsin
cpd:C00299	cpd:Uridine
cpd:C00300	cpd:Creatine
cpd:C00301	cpd:ADP-ribose
cpd:C00302	cpd:Glutamate
cpd:C00303	cpd:Glutamine
cpd:C00304	cpd:Kanamycin
cpd:C00305	cpd:Magnesium cation
cpd:C00306	cpd:Bradykinin
cpd:C00307	cpd:CDP-choline
cpd:C00308	cpd:Canavanine
cpd:C00309	cpd:D-Ribulose
cpd:C00310	cpd:D-Xylulose
cpd:C00311	cpd:Isocitrate
cpd:C00312	cpd:L-Xylulose
cpd:C00313	cpd:Oxalyl-CoA
cpd:C00314	cpd:Pyridoxine
cpd:C00315	cpd:Spermidine
cpd:C00317	cpd:Amylopectin
cpd:C00318	cpd:L-Carnitine
cpd:C00319	cpd:Sphingosine
cpd:C00320	cpd:Thiosulfate
cpd:C00322	cpd:2-Oxoadipate
cpd:C00323	cpd:Caffeoyl-CoA
cpd:C00324	cpd:Ferricyanide
cpd:C00325	cpd:GDP-L-fucose
cpd:C00326	cpd:Glycoprotein
cpd:C00327	cpd:L-Citrulline
cpd:C00328	cpd:L-Kynurenine
cpd:C00329	cpd:D-Glucosamine
cpd:C00330	cpd:Deoxyguanosine
cpd:C00331	cpd:Indolepyruvate
cpd:C00332	cpd:Acetoacetyl-CoA
cpd:C00333	cpd:D-Galacturonate
cpd:C00334	cpd:4-Aminobutanoate
cpd:C00337	cpd:(S)-Dihydroorotate
cpd:C00338	cpd:Lipopolysaccharide
cpd:C00339	cpd:Long-chain alcohol
cpd:C00340	cpd:Reduced rubredoxin
cpd:C00341	cpd:Geranyl diphosphate
cpd:C00342	cpd:Thioredoxin
cpd:C00343	cpd:Thioredoxin disulfide
cpd:C00344	cpd:Phosphatidylglycerol
cpd:C00345	cpd:6-Phospho-D-gluconate
cpd:C00346	cpd:Ethanolamine phosphate
cpd:C00347	cpd:Long-chain carboxylate
cpd:C00348	cpd:all-trans-Undecaprenyl phosphate
cpd:C00349	cpd:2-Methyl-3-oxopropanoate
cpd:C00350	cpd:Phosphatidylethanolamine
cpd:C00351	cpd:5'-Phosphooligonucleotide
cpd:C00352	cpd:D-Glucosamine 6-phosphate
cpd:C00353	cpd:Geranylgeranyl diphosphate
cpd:C00354	cpd:D-Fructose 1,6-bisphosphate
cpd:C00355	cpd:3,4-Dihydroxy-L-phenylalanine
cpd:C00356	cpd:(S)-3-Hydroxy-3-methylglutaryl-CoA
cpd:C00357	cpd:N-Acetyl-D-glucosamine 6-phosphate
cpd:C00360	cpd:dAMP
cpd:C00361	cpd:dGDP
cpd:C00362	cpd:dGMP
cpd:C00363	cpd:dTDP
cpd:C00364	cpd:dTMP
cpd:C00365	cpd:dUMP
cpd:C00366	cpd:Urate
cpd:C00367	cpd:Casein
cpd:C00369	cpd:Starch
cpd:C00370	cpd:Sterol
cpd:C00371	cpd:Zeatin
cpd:C00372	cpd:Dextran
cpd:C00373	cpd:Elastin
cpd:C00374	cpd:Heparin
cpd:C00375	cpd:RCH2NH2
cpd:C00376	cpd:Retinal
cpd:C00377	cpd:Steroid
cpd:C00378	cpd:Thiamine
cpd:C00379	cpd:Xylitol
cpd:C00380	cpd:Cytosine
cpd:C00381	cpd:Dolichol
cpd:C00383	cpd:Malonate
cpd:C00384	cpd:Neomycin
cpd:C00385	cpd:Xanthine
cpd:C00386	cpd:Carnosine
cpd:C00387	cpd:Guanosine
cpd:C00388	cpd:Histamine
cpd:C00389	cpd:Quercetin
cpd:C00390	cpd:Ubiquinol
cpd:C00391	cpd:Calmodulin
cpd:C00392	cpd:Mannitol
cpd:C00393	cpd:Fibrinogen
cpd:C00394	cpd:GDP-glucose
cpd:C00395	cpd:Penicillin
cpd:C00396	cpd:Pyrimidine
cpd:C00397	cpd:Tobramycin
cpd:C00398	cpd:Tryptamine
cpd:C00399	cpd:Ubiquinone
cpd:C00400	cpd:(-)-Menthol
cpd:C00401	cpd:Chondroitin
cpd:C00402	cpd:D-Aspartate
cpd:C00403	cpd:Polypeptide
cpd:C00404	cpd:Polyphosphate
cpd:C00405	cpd:D-Amino acid
cpd:C00406	cpd:Feruloyl-CoA
cpd:C00407	cpd:L-Isoleucine
cpd:C00408	cpd:L-Pipecolate
cpd:C00409	cpd:Methanethiol
cpd:C00410	cpd:Progesterone
cpd:C00411	cpd:Sinapoyl-CoA
cpd:C00412	cpd:Stearoyl-CoA
cpd:C00413	cpd:Streptomycin
cpd:C00414	cpd:Cyclohexanone
cpd:C00415	cpd:Dihydrofolate
cpd:C00416	cpd:Phosphatidate
cpd:C00417	cpd:cis-Aconitate
cpd:C00418	cpd:(R)-Mevalonate
cpd:C00419	cpd:Polynucleotide
cpd:C00420	cpd:Polysaccharide
cpd:C00422	cpd:Triacylglycerol
cpd:C00423	cpd:trans-Cinnamate
cpd:C00424	cpd:(S)-Lactaldehyde
cpd:C00426	cpd:Dermatan sulfate
cpd:C00427	cpd:Prostaglandin H2
cpd:C00429	cpd:5,6-Dihydrouracil
cpd:C00430	cpd:5-Aminolevulinate
cpd:C00431	cpd:5-Aminopentanoate
cpd:C00433	cpd:2,5-Dioxopentanoate
cpd:C00434	cpd:Double-stranded DNA
cpd:C00435	cpd:Oxidized rubredoxin
cpd:C00436	cpd:N-Carbamoylputrescine
cpd:C00437	cpd:N-Acetylornithine
cpd:C00438	cpd:N-Carbamoyl-L-aspartate
cpd:C00439	cpd:N-Formimino-L-glutamate
cpd:C00440	cpd:5-Methyltetrahydrofolate
cpd:C00441	cpd:L-Aspartate 4-semialdehyde
cpd:C00444	cpd:5'-Phosphooligoribonucleotide
cpd:C00445	cpd:5,10-Methenyltetrahydrofolate
cpd:C00446	cpd:alpha-D-Galactose 1-phosphate
cpd:C00447	cpd:Sedoheptulose 1,7-bisphosphate
cpd:C00448	cpd:trans,trans-Farnesyl diphosphate
cpd:C00449	cpd:N6-(L-1,3-Dicarboxypropyl)-L-lysine
cpd:C00450	cpd:(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate
cpd:C00451	cpd:(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate
cpd:C00454	cpd:NDP
cpd:C00455	cpd:Nicotinamide D-ribonucleotide
cpd:C00458	cpd:dCTP
cpd:C00459	cpd:dTTP
cpd:C00460	cpd:dUTP
cpd:C00461	cpd:Chitin
cpd:C00462	cpd:Halide
cpd:C00463	cpd:Indole
cpd:C00464	cpd:Mannan
cpd:C00466	cpd:Acetoin
cpd:C00468	cpd:Estrone
cpd:C00469	cpd:Ethanol
cpd:C00470	cpd:Pectate
cpd:C00472	cpd:p-Benzoquinone
cpd:C00473	cpd:Retinol
cpd:C00474	cpd:Ribitol
cpd:C00475	cpd:Cytidine
cpd:C00476	cpd:D-Lyxose
cpd:C00477	cpd:Ecdysone
cpd:C00478	cpd:Lichenin
cpd:C00479	cpd:Propanal
cpd:C00480	cpd:Pullulan
cpd:C00481	cpd:Pyrazole
cpd:C00482	cpd:Sinapate
cpd:C00483	cpd:Tyramine
cpd:C00484	cpd:Arylamide
cpd:C00486	cpd:Bilirubin
cpd:C00487	cpd:Carnitine
cpd:C00488	cpd:Formamide
cpd:C00489	cpd:Glutarate
cpd:C00490	cpd:Itaconate
cpd:C00491	cpd:L-Cystine
cpd:C00492	cpd:Raffinose
cpd:C00493	cpd:Shikimate
cpd:C00494	cpd:Sisomicin
cpd:C00495	cpd:Sulochrin
cpd:C00496	cpd:Ubiquitin
cpd:C00497	cpd:(R)-Malate
cpd:C00498	cpd:ADP-glucose
cpd:C00499	cpd:Allantoate
cpd:C00500	cpd:Biliverdin
cpd:C00501	cpd:CDP-glucose
cpd:C00502	cpd:D-Xylonate
cpd:C00503	cpd:Erythritol
cpd:C00504	cpd:Folate
cpd:C00505	cpd:Gentamicin
cpd:C00506	cpd:L-Cysteate
cpd:C00507	cpd:L-Rhamnose
cpd:C00508	cpd:L-Ribulose
cpd:C00509	cpd:Naringenin
cpd:C00510	cpd:Oleoyl-CoA
cpd:C00511	cpd:Acrylic acid
cpd:C00512	cpd:Benzoyl-CoA
cpd:C00513	cpd:CDP-glycerol
cpd:C00514	cpd:D-Mannonate
cpd:C00515	cpd:D-Ornithine
cpd:C00516	cpd:Fibronectin
cpd:C00517	cpd:Hexadecanal
cpd:C00518	cpd:Hyaluronate
cpd:C00519	cpd:Hypotaurine
cpd:C00521	cpd:(-)-Limonene
cpd:C00522	cpd:(R)-Pantoate
cpd:C00523	cpd:Androsterone
cpd:C00524	cpd:Cytochrome c
cpd:C00525	cpd:D-Tryptophan
cpd:C00526	cpd:Deoxyuridine
cpd:C00527	cpd:Glutaryl-CoA
cpd:C00528	cpd:Glycopeptide
cpd:C00530	cpd:Hydroquinone
cpd:C00531	cpd:Itaconyl-CoA
cpd:C00532	cpd:L-Arabitol
cpd:C00533	cpd:Nitric oxide
cpd:C00534	cpd:Pyridoxamine
cpd:C00535	cpd:Testosterone
cpd:C00536	cpd:Triphosphate
cpd:C00538	cpd:2-Oxoaldehyde
cpd:C00539	cpd:Aromatic acid
cpd:C00540	cpd:Cinnamoyl-CoA
cpd:C00541	cpd:Cob(II)alamin
cpd:C00542	cpd:Cystathionine
cpd:C00543	cpd:Dimethylamine
cpd:C00544	cpd:Homogentisate
cpd:C00545	cpd:L-Arabinonate
cpd:C00546	cpd:Methylglyoxal
cpd:C00547	cpd:L-Noradrenaline
cpd:C00548	cpd:Phenyl acetate
cpd:C00549	cpd:RNA (poly(U))
cpd:C00550	cpd:Sphingomyelin
cpd:C00551	cpd:beta-D-Glucan
cpd:C00552	cpd:meso-Tartaric acid
cpd:C00553	cpd:(+)-Neomenthol
cpd:C00555	cpd:4-Aminobutyraldehyde
cpd:C00556	cpd:Benzyl alcohol
cpd:C00557	cpd:Cyclopentanone
cpd:C00558	cpd:D-Tagaturonate
cpd:C00559	cpd:Deoxyadenosine
cpd:C00561	cpd:Mandelonitrile
cpd:C00562	cpd:Phosphoprotein
cpd:C00563	cpd:Phosphoramidon
cpd:C00565	cpd:Trimethylamine
cpd:C00566	cpd:(3S)-Citryl-CoA
cpd:C00568	cpd:4-Aminobenzoate
cpd:C00569	cpd:Arabinogalactan
cpd:C00570	cpd:CDP-ethanolamine
cpd:C00571	cpd:Cyclohexylamine
cpd:C00573	cpd:Keratan sulfate
cpd:C00574	cpd:beta-D-Fucoside
cpd:C00575	cpd:3',5'-Cyclic AMP
cpd:C00576	cpd:Betaine aldehyde
cpd:C00577	cpd:D-Glyceraldehyde
cpd:C00579	cpd:Dihydrolipoamide
cpd:C00580	cpd:Dimethyl sulfide
cpd:C00581	cpd:Guanidinoacetate
cpd:C00582	cpd:Phenylacetyl-CoA
cpd:C00583	cpd:Propane-1,2-diol
cpd:C00584	cpd:Prostaglandin E2
cpd:C00585	cpd:Protein tyrosine
cpd:C00586	cpd:2-Deoxy-D-glucose
cpd:C00587	cpd:3-Hydroxybenzoate
cpd:C00588	cpd:Choline phosphate
cpd:C00590	cpd:Coniferyl alcohol
cpd:C00591	cpd:N-Acylneuraminate
cpd:C00593	cpd:Sulfoacetaldehyde
cpd:C00596	cpd:2-Hydroxy-2,4-pentadienoate
cpd:C00597	cpd:Glycerate 3-phosphate
cpd:C00599	cpd:Cholest-4-en-3-one
cpd:C00601	cpd:Phenylacetaldehyde
cpd:C00602	cpd:beta-D-Galactoside
cpd:C00603	cpd:(S)-Ureidoglycolate
cpd:C00604	cpd:1,10-Phenanthroline
cpd:C00605	cpd:2,3-Dehydroacyl-CoA
cpd:C00606	cpd:3-Sulfino-L-alanine
cpd:C00607	cpd:Chondroitin sulfate
cpd:C00608	cpd:Deoxyribonucleotide
cpd:C00609	cpd:Long-chain aldehyde
cpd:C00611	cpd:N-Acetyllactosamine
cpd:C00612	cpd:N1-Acetylspermidine
cpd:C00613	cpd:Protein-L-arginine
cpd:C00614	cpd:Protein glutamate
cpd:C00615	cpd:Protein histidine
cpd:C00616	cpd:Quercetin 3-sulfate
cpd:C00617	cpd:UDP-D-galacturonate
cpd:C00618	cpd:3-Dehydro-L-gulonate
cpd:C00619	cpd:3-Oxo-Delta4-steroid
cpd:C00620	cpd:alpha-D-Ribose 1-phosphate
cpd:C00621	cpd:Dolichyl diphosphate
cpd:C00623	cpd:sn-Glycerol 1-phosphate
cpd:C00624	cpd:N-Acetyl-L-glutamate
cpd:C00625	cpd:N-Acyl-D-mannosamine
cpd:C00627	cpd:Pyridoxine phosphate
cpd:C00628	cpd:2,5-Dihydroxybenzoate
cpd:C00630	cpd:2-Methylpropanoyl-CoA
cpd:C00631	cpd:2-Phospho-D-glycerate
cpd:C00632	cpd:3-Hydroxyanthranilate
cpd:C00633	cpd:4-Hydroxybenzaldehyde
cpd:C00634	cpd:Chondroitin 4-sulfate
cpd:C00635	cpd:Chondroitin 6-sulfate
cpd:C00636	cpd:D-Mannose 1-phosphate
cpd:C00637	cpd:Indole-3-acetaldehyde
cpd:C00638	cpd:Long-chain fatty acid
cpd:C00639	cpd:Prostaglandin F2alpha
cpd:C00640	cpd:(3S)-3-Hydroxyacyl-CoA
cpd:C00641	cpd:1,2-Diacyl-sn-glycerol
cpd:C00642	cpd:4-Hydroxyphenylacetate
cpd:C00643	cpd:5-Hydroxy-L-tryptophan
cpd:C00644	cpd:D-Mannitol 1-phosphate
cpd:C00645	cpd:N-Acetyl-D-mannosamine
cpd:C00647	cpd:Pyridoxamine phosphate
cpd:C00650	cpd:4-Hydroxymandelonitrile
cpd:C00651	cpd:4-Methylene-L-glutamate
cpd:C00652	cpd:D-Arabinono-1,4-lactone
cpd:C00653	cpd:Poly(ribitol phosphate)
cpd:C00655	cpd:Xanthosine 5'-phosphate
cpd:C00658	cpd:trans-2,3-Dehydroacyl-CoA
cpd:C00659	cpd:2-Aceto-2-hydroxybutanoate
cpd:C00661	cpd:Glyceraldehyde 3-phosphate
cpd:C00662	cpd:Reduced adrenal ferredoxin
cpd:C00663	cpd:beta-D-Glucose 1-phosphate
cpd:C00664	cpd:5-Formiminotetrahydrofolate
cpd:C00665	cpd:beta-D-Fructose 2,6-bisphosphate
cpd:C00666	cpd:LL-2,6-Diaminoheptanedioate
cpd:C00667	cpd:Oxidized adrenal ferredoxin
cpd:C00668	cpd:alpha-D-Glucose 6-phosphate
cpd:C00669	cpd:gamma-L-Glutamyl-L-cysteine
cpd:C00670	cpd:sn-Glycero-3-phosphocholine
cpd:C00671	cpd:(S)-3-Methyl-2-oxopentanoic acid
cpd:C00672	cpd:2-Deoxy-D-ribose 1-phosphate
cpd:C00673	cpd:2-Deoxy-D-ribose 5-phosphate
cpd:C00674	cpd:5alpha-Androstane-3,17-dione
cpd:C00675	cpd:Deoxynucleoside 3'-phosphate
cpd:C00676	cpd:Deoxynucleoside 5'-phosphate
cpd:C00677	cpd:Deoxynucleoside triphosphate
cpd:C00679	cpd:5-Dehydro-4-deoxy-D-glucarate
cpd:C00680	cpd:meso-2,6-Diaminoheptanedioate
cpd:C00681	cpd:1-Acyl-sn-glycerol 3-phosphate
cpd:C00682	cpd:2-Hydroxymuconate semialdehyde
cpd:C00683	cpd:(S)-Methylmalonyl-CoA
cpd:C00684	cpd:2-Dehydro-3-deoxy-L-arabinonate
cpd:C00685	cpd:3-Oxoacyl-[acyl-carrier protein]
cpd:C00686	cpd:N-Acyl-D-mannosamine 6-phosphate
cpd:C00688	cpd:dTDP-4-dehydro-beta-L-rhamnose
cpd:C00689	cpd:alpha,alpha'-Trehalose 6-phosphate
cpd:C00691	cpd:2,4,6/3,5-Pentahydroxycyclohexanone
cpd:C00692	cpd:UDP-N-acetylmuramoyl-L-alanyl-D-glutamate
cpd:C00693	cpd:trans-2,3-Dehydroacyl-[acyl-carrier protein]
cpd:C00694	cpd:beta-D-Galactosyl-(1->4)-N-acetyl-beta-D-glucosaminyl-R
cpd:C00695	cpd:Cholic acid
cpd:C00696	cpd:Prostaglandin D2
cpd:C00697	cpd:Nitrogen
cpd:C00698	cpd:Cl-
cpd:C00700	cpd:XTP
cpd:C00701	cpd:Base
cpd:C00703	cpd:Mercury(2+)
cpd:C00704	cpd:O2.-
cpd:C00705	cpd:dCDP
cpd:C00706	cpd:Amine
cpd:C00707	cpd:Xylan
cpd:C00708	cpd:Iodide
cpd:C00711	cpd:Malate
cpd:C00712	cpd:(9Z)-Octadecenoic acid
cpd:C00713	cpd:Panose
cpd:C00714	cpd:Pectin
